127.0.0.1 - - [15/Feb/2022:13:06:19 +0200] "GET / HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:06:57 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:06:57 +0200] "GET /favicon.ico HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:07:04 +0200] "GET /lab1/ HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:07:04 +0200] "GET /lab1/'/lab1/styles.ef46db3751d8e999.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:07:04 +0200] "GET /lab1/'/lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:07:04 +0200] "GET /lab1/'/lab1/main.69fe7f05d0dd91bb.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:07:04 +0200] "GET /lab1/'/lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:07:04 +0200] "GET /lab1/'/lab1/favicon.ico HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:08:50 +0200] "GET /lab1/ HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:08:50 +0200] "GET /lab1/'/lab1/styles.ef46db3751d8e999.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:08:50 +0200] "GET /lab1/'/lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:08:50 +0200] "GET /lab1/'/lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:08:50 +0200] "GET /lab1/'/lab1/main.ec8202211e281fa5.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:09:57 +0200] "GET /lab1/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:09:57 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:09:57 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:09:57 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:09:57 +0200] "GET /lab1/main.ec8202211e281fa5.js HTTP/1.1" 200 180928
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:09:57 +0200] "GET /lab1/favicon.ico HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:16:01 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:37 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:43 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:43 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:43 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:43 +0200] "GET /lab1/main.ec8202211e281fa5.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:56 +0200] "GET /lab1/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:56 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:56 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:56 +0200] "GET /lab1/main.a080e799b1685ce8.js HTTP/1.1" 200 203399
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:56 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:37:57 +0200] "GET /lab1/favicon.ico HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:38:01 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:38:05 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:50:31 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:50:41 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:52 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:53 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:53 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:53 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:53 +0200] "GET /lab1/main.a080e799b1685ce8.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:53 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:53 +0200] "GET /lab1/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:51:55 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:52:36 +0200] "GET /lab1/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:52:36 +0200] "GET /lab1/main.98199fedb9cedf96.js HTTP/1.1" 200 203405
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:52:37 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:17 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:17 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:17 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:17 +0200] "GET /lab1/main.98199fedb9cedf96.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:17 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:18 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:54:19 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:41 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:41 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:41 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:41 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:41 +0200] "GET /lab1/main.98199fedb9cedf96.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:44 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:55:45 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:56:30 +0200] "GET /lab1/ HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:56:30 +0200] "GET /lab1/main.abefc4440c53ff3c.js HTTP/1.1" 200 203389
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:56:30 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:56:30 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:56:30 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:56:32 +0200] "GET /lab1/Servlet1 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:28 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:28 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:28 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:28 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 200 37058
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:28 +0200] "GET /lab1/main.abefc4440c53ff3c.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:32 +0200] "GET /lab1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:32 +0200] "GET /lab1/polyfills.503f0d7ef4e70b9a.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:32 +0200] "GET /lab1/runtime.f17cbbd0ef4c6078.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:13:58:32 +0200] "GET /lab1/styles.ef46db3751d8e999.css HTTP/1.1" 304 -
